IlmnID	estimate	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg00527413	0.00590297480398319	2	25151377		IGR-opensea	1;23;43	ADCY3	upstream	9321
cg04233054	0.100744886875052	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg07168214	-0.205669429638695	17	7380112	ZBTB4	5'UTR-shelf	8;35	ZBTB4	inside intron	7456
cg07897858	-0.0477035016737337	20	34973209	DLGAP4	5'UTR-opensea	27	DLGAP4	inside intron	78905
cg12026561	-0.0160146009163165	11	122238873		IGR-opensea	49;32;30;22;2;1	MIR100HG	promoter	405
cg13659813	-0.0493304388036006	19	39322968	ECH1	TSS1500-shore	1;51	HNRNPL	inside intron	8048
cg20385913	0.176203666217226	15	75054510		IGR-opensea		CYP1A2	downstream	13325
cg21362410	0.232296491263446	11	63650618	MARK2	Body-opensea	41;31;19;1	MARK2	inside intron	44217
cg24372191	0.0711863623699692	15	48116584	LINC01491	Body-opensea	26	SEMA6D	downstream	105897
cg27402634	-1.11011327968934	3	156536860		IGR-shore	12;50	LINC00886	promoter	2008
