IlmnID	estimate	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg03571145	-0.347544362082503	8	146021168		IGR-shelf	0;30	ZNF517	upstream	3093
cg03745114	-0.6153319287703	17	46017593	PNPO	TSS1500-opensea	8;12	PNPO	promoter	1296
cg04233054	0.888193532465144	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg04414720	-0.347664028942272	1	150670196	GOLPH3L	TSS1500-opensea	22	HORMAD1	downstream	23168
cg04971534	-0.19324043403238	17	27333432	SEZ6	TSS1500-shore	27	SEZ6	inside exon	26
cg05548179	-0.0394345765358294	15	51425282		IGR-opensea		TNFAIP8L3	upstream	27808
cg07168214	-0.152463540951791	17	7380112	ZBTB4	5'UTR-shelf	8;35	ZBTB4	inside intron	7456
cg08103568	-1.22888078462459	4	100737138	DAPP1	TSS1500-opensea	1	DAPP1	promoter	843
cg08621277	0.677493322044904	11	68271518	SAPS3	5'UTR-opensea	34;21	PPP6R3	inside intron	43331
cg08893087	-0.442932671995193	1	93416982	FAM69A	Body-opensea	17;11	DIPK1A	inside intron	10097
cg13659813	-0.495918809683546	19	39322968	ECH1	TSS1500-shore	1;51	HNRNPL	inside intron	8048
cg14620234	-0.333093797051506	9	108003927		IGR-shelf		SLC44A1	upstream	3002
cg15719339	-0.160869155698571	21	17960584	C21orf34	Body-opensea	50	MIR99AHG	inside intron	393884
cg17196465	0.615132109955383	3	50676567	MAPKAPK3	Body-opensea		MAPKAPK3	inside intron	21634
cg18714782	0.0445938806004542	4	519713	PIGG	Body-opensea	31;1	PIGG	inside intron	26686
cg19556613	-0.190571441599258	5	116280275		IGR-opensea	10	SEMA6A	upstream	369723
cg21406786	-0.290685436564985	15	48925049	FBN1	Body-opensea	36;2	FBN1	inside intron	12936
cg22879834	0.455727086296905	2	239169591	PER2	Body-opensea	39	PER2	inside exon	27616
cg26974880	0.215197967345967	16	50308058		IGR-opensea	26	ADCY7	inside intron	7595
cg27189723	-0.0880355888392687	7	134137645	AKR1B1	Body-opensea	23;2	AKR1B1	inside intron	6243
cg27402634	-1.51601144873939	3	156536860		IGR-shore	12;50	LINC00886	promoter	2008
