IlmnID	estimate	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg02339122	-0.214848238809376	17	54245140	ANKFN1	Body-opensea	1	ANKFN1	inside intron	14303
cg03313447	-0.264997649304189	19	41829042	CCDC97	3'UTR-opensea	40;2	CCDC97	inside exon	12947
cg04233054	1.14031980863542	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg05211790	0.329219657763761	5	34683189	RAI14	5'UTR-opensea	33	RAI14	inside intron	26592
cg05773155	-0.443271755856961	1	201911097	LMOD1	Body-opensea	42	LMOD1	inside intron	4619
cg07168214	-1.14879867994201	17	7380112	ZBTB4	5'UTR-shelf	8;35	ZBTB4	inside intron	7456
cg08103568	-3.63254668763591	4	100737138	DAPP1	TSS1500-opensea	1	DAPP1	promoter	843
cg08621277	1.38622497249957	11	68271518	SAPS3	5'UTR-opensea	34;21	PPP6R3	inside intron	43331
cg13393036	-0.430206667604826	8	95962371	TP53INP1	TSS1500-island	30;33	TP53INP1	promoter	755
cg13659813	-2.39196256947922	19	39322968	ECH1	TSS1500-shore	1;51	HNRNPL	inside intron	8048
cg14150907	0.873747568629918	8	142275722		IGR-opensea	18	SLC45A4	upstream	11496
cg17196465	2.44694049220634	3	50676567	MAPKAPK3	Body-opensea		MAPKAPK3	inside intron	21634
cg20648272	-0.296579585391971	20	35068341	DLGAP4	Body-shelf	0;4;12	DLGAP4	inside intron	72892
cg21702971	0.143720921896973	12	57588243	LRP1	Body-opensea	47;42;34;2	LRP1	inside exon	65960
cg22211564	-0.213109648932512	3	54988324	CACNA2D3	Body-opensea	15;21	CACNA2D3	inside intron	830835
cg23894219	-0.295458680509126	1	1356565	LOC441869	1stExon-shore	48;17	ANKRD65	inside exon	259
cg27189723	-1.26674242335938	7	134137645	AKR1B1	Body-opensea	23;2	AKR1B1	inside intron	6243
cg27402634	-1.83527913084586	3	156536860		IGR-shore	12;50	LINC00886	promoter	2008
