cpg	mean	sd
cg27402634	0.454904852107265	0.15955537858639
cg07168214	0.662973009128672	0.051412574914947
cg04971534	0.0407748097095951	0.015164875493877
cg04233054	0.545081939840904	0.0761778457958165
cg08621277	0.840038946793104	0.032284478614294
cg08103568	0.611217259126024	0.0619093924574481
cg13659813	0.0853272096531295	0.0237947737960226
cg17196465	0.818832172627437	0.0301419188436881
cg22879834	0.936664632645845	0.0100696764154549
cg15719339	0.167046900946928	0.0293129572928298
cg26974880	0.733441309317238	0.0250313863209503
cg03745114	0.704947269751987	0.0438152782327129
cg27189723	0.628718696039315	0.0335268015923241
cg18714782	0.960739599605461	0.0123392204591864
cg14620234	0.475443057741522	0.0437493233506289
cg04414720	0.0568488035031999	0.0182496913552097
cg03571145	0.100313404665034	0.0235672524246381
cg08893087	0.424573438966002	0.0707914368171112
cg05548179	0.144130448617477	0.0298137423261817
cg19556613	0.0639924113506238	0.0198649469430717
cg21406786	0.188555697030448	0.0189735602467554
