IlmnID	model1_EPIC_coef	model2_450k_coef	model3_PACE_coef	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg00527413	0.905729138182702	NA	NA	2	25151377		IGR-opensea	1;23;43	ADCY3	upstream	9321
cg02339122	NA	NA	-0.214848238809376	17	54245140	ANKFN1	Body-opensea	1	ANKFN1	inside intron	14303
cg02632511	-0.155999508618992	NA	NA	14	22408702		IGR-opensea	1;43	OR4E2	downstream	275404
cg03313447	0	0	-0.264997649304189	19	41829042	CCDC97	3'UTR-opensea	40;2	CCDC97	inside exon	12947
cg03571145	NA	-0.347544362082503	NA	8	146021168		IGR-shelf	0;30	ZNF517	upstream	3093
cg03608224	-0.0907697911070226	NA	NA	12	124773995	FAM101A	5'UTR-opensea	0;38	RFLNA	inside intron	284
cg03745114	NA	-0.6153319287703	NA	17	46017593	PNPO	TSS1500-opensea	8;12	PNPO	promoter	1296
cg04233054	0.516553078645118	0.888193532465144	1.14031980863542	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg04414720	NA	-0.347664028942272	NA	1	150670196	GOLPH3L	TSS1500-opensea	22	HORMAD1	downstream	23168
cg04971534	-0.0925289665726877	-0.19324043403238	NA	17	27333432	SEZ6	TSS1500-shore	27	SEZ6	inside exon	26
cg05211790	NA	NA	0.329219657763761	5	34683189	RAI14	5'UTR-opensea	33	RAI14	inside intron	26592
cg05548179	NA	-0.0394345765358294	NA	15	51425282		IGR-opensea		TNFAIP8L3	upstream	27808
cg05773155	NA	NA	-0.443271755856961	1	201911097	LMOD1	Body-opensea	42	LMOD1	inside intron	4619
cg07168214	-0.257495301591324	-0.152463540951791	-1.14879867994201	17	7380112	ZBTB4	5'UTR-shelf	8;35	ZBTB4	inside intron	7456
cg08103568	-1.41070902825759	-1.22888078462459	-3.63254668763591	4	100737138	DAPP1	TSS1500-opensea	1	DAPP1	promoter	843
cg08621277	0.00523333367235252	0.677493322044904	1.38622497249957	11	68271518	SAPS3	5'UTR-opensea	34;21	PPP6R3	inside intron	43331
cg08893087	NA	-0.442932671995193	NA	1	93416982	FAM69A	Body-opensea	17;11	DIPK1A	inside intron	10097
cg11581079	-0.726233477584723	NA	NA	17	7383764	ZBTB4	TSS1500-shore	3	ZBTB4	inside intron	3804
cg12060249	-0.0537933500298249	NA	NA	17	1493665	SLC43A2	Body-shore	41;2	SLC43A2	inside intron	38465
cg13393036	NA	NA	-0.430206667604826	8	95962371	TP53INP1	TSS1500-island	30;33	TP53INP1	promoter	755
cg13659813	0	-0.495918809683546	-2.39196256947922	19	39322968	ECH1	TSS1500-shore	1;51	HNRNPL	inside intron	8048
cg14150907	0	0	0.873747568629918	8	142275722		IGR-opensea	18	SLC45A4	upstream	11496
cg14620234	NA	-0.333093797051506	NA	9	108003927		IGR-shelf		SLC44A1	upstream	3002
cg15719339	NA	-0.160869155698571	NA	21	17960584	C21orf34	Body-opensea	50	MIR99AHG	inside intron	393884
cg17030163	-0.240798966774035	NA	NA	5	17344317		IGR-opensea	26	LINC02111	downstream	43102
cg17196465	NA	0.615132109955383	2.44694049220634	3	50676567	MAPKAPK3	Body-opensea		MAPKAPK3	inside intron	21634
cg18714782	NA	0.0445938806004542	NA	4	519713	PIGG	Body-opensea	31;1	PIGG	inside intron	26686
cg19556613	NA	-0.190571441599258	NA	5	116280275		IGR-opensea	10	SEMA6A	upstream	369723
cg20378055	-0.409336782389964	NA	NA	10	86184730	CCSER2	TSS1500-opensea	39;19;11;1	CCSER2	inside exon	34
cg20385913	0.466141678474206	NA	NA	15	75054510		IGR-opensea		CYP1A2	downstream	13325
cg20648272	NA	NA	-0.296579585391971	20	35068341	DLGAP4	Body-shelf	0;4;12	DLGAP4	inside intron	72892
cg21362410	1.22487518299381	NA	NA	11	63650618	MARK2	Body-opensea	41;31;19;1	MARK2	inside intron	44217
cg21406786	NA	-0.290685436564985	NA	15	48925049	FBN1	Body-opensea	36;2	FBN1	inside intron	12936
cg21702971	0	0	0.143720921896973	12	57588243	LRP1	Body-opensea	47;42;34;2	LRP1	inside exon	65960
cg22211564	NA	NA	-0.213109648932512	3	54988324	CACNA2D3	Body-opensea	15;21	CACNA2D3	inside intron	830835
cg22879834	NA	0.455727086296905	NA	2	239169591	PER2	Body-opensea	39	PER2	inside exon	27616
cg23377690	-0.865222999768091	NA	NA	20	35013080	DLGAP4	5'UTR-opensea	0;2;20;49	DLGAP4	inside intron	17631
cg23894219	NA	NA	-0.295458680509126	1	1356565	LOC441869	1stExon-shore	48;17	ANKRD65	inside exon	259
cg24034752	-0.0875601763391363	NA	NA	20	36023689	SRC	Body-opensea	51;45;44;27;8	SRC	inside intron	49131
cg24372191	0.343169177530239	NA	NA	15	48116584	LINC01491	Body-opensea	26	SEMA6D	downstream	105897
cg26974880	NA	0.215197967345967	NA	16	50308058		IGR-opensea	26	ADCY7	inside intron	7595
cg27189723	NA	-0.0880355888392687	-1.26674242335938	7	134137645	AKR1B1	Body-opensea	23;2	AKR1B1	inside intron	6243
cg27402634	-1.47452411996789	-1.51601144873939	-1.83527913084586	3	156536860		IGR-shore	12;50	LINC00886	promoter	2008
