term	estimate	penalty
(Intercept)	4.09037634494563	3.79269019073225e-09
cg27402634	-1.51601144873939	3.79269019073225e-09
cg03313447	0	3.79269019073225e-09
cg07168214	-0.152463540951791	3.79269019073225e-09
cg26115089	0	3.79269019073225e-09
cg06716730	0	3.79269019073225e-09
cg25727853	0	3.79269019073225e-09
cg12294026	0	3.79269019073225e-09
cg04971534	-0.19324043403238	3.79269019073225e-09
cg04233054	0.888193532465144	3.79269019073225e-09
cg08621277	0.677493322044904	3.79269019073225e-09
cg17819085	0	3.79269019073225e-09
cg04835489	0	3.79269019073225e-09
cg00037952	0	3.79269019073225e-09
cg19730379	0	3.79269019073225e-09
cg08103568	-1.22888078462459	3.79269019073225e-09
cg13659813	-0.495918809683546	3.79269019073225e-09
cg18026955	0	3.79269019073225e-09
cg03732020	0	3.79269019073225e-09
cg02227879	0	3.79269019073225e-09
cg14150907	0	3.79269019073225e-09
cg24177452	0	3.79269019073225e-09
cg10805254	0	3.79269019073225e-09
cg12291408	0	3.79269019073225e-09
cg04156897	0	3.79269019073225e-09
cg21702971	0	3.79269019073225e-09
cg14282004	0	3.79269019073225e-09
cg19182008	0	3.79269019073225e-09
cg25104397	0	3.79269019073225e-09
cg02127980	0	3.79269019073225e-09
cg13067221	0	3.79269019073225e-09
cg01781649	0	3.79269019073225e-09
cg17888086	0	3.79269019073225e-09
cg22126171	0	3.79269019073225e-09
cg03315662	0	3.79269019073225e-09
cg11855643	0	3.79269019073225e-09
cg06907680	0	3.79269019073225e-09
cg17196465	0.615132109955383	3.79269019073225e-09
cg09070415	0	3.79269019073225e-09
cg08290013	0	3.79269019073225e-09
cg14329026	0	3.79269019073225e-09
cg22879834	0.455727086296905	3.79269019073225e-09
cg20248822	0	3.79269019073225e-09
cg26695909	0	3.79269019073225e-09
cg15719339	-0.160869155698571	3.79269019073225e-09
cg06212361	0	3.79269019073225e-09
cg25934581	0	3.79269019073225e-09
cg01761362	0	3.79269019073225e-09
cg26974880	0.215197967345967	3.79269019073225e-09
cg03745114	-0.6153319287703	3.79269019073225e-09
cg21844472	0	3.79269019073225e-09
cg27189723	-0.0880355888392687	3.79269019073225e-09
cg11124260	0	3.79269019073225e-09
cg05904317	0	3.79269019073225e-09
cg14015502	0	3.79269019073225e-09
cg22182451	0	3.79269019073225e-09
cg23432707	0	3.79269019073225e-09
cg18714782	0.0445938806004542	3.79269019073225e-09
cg06097370	0	3.79269019073225e-09
cg04895640	0	3.79269019073225e-09
cg18328334	0	3.79269019073225e-09
cg02505177	0	3.79269019073225e-09
cg15442728	0	3.79269019073225e-09
cg24544105	0	3.79269019073225e-09
cg14620234	-0.333093797051506	3.79269019073225e-09
cg02977954	0	3.79269019073225e-09
cg12686055	0	3.79269019073225e-09
cg14375890	0	3.79269019073225e-09
cg07915634	0	3.79269019073225e-09
cg17280299	0	3.79269019073225e-09
cg04414720	-0.347664028942272	3.79269019073225e-09
cg01008256	0	3.79269019073225e-09
cg15531386	0	3.79269019073225e-09
cg21992501	0	3.79269019073225e-09
cg26843110	0	3.79269019073225e-09
cg22697216	0	3.79269019073225e-09
cg04266474	0	3.79269019073225e-09
cg07300408	0	3.79269019073225e-09
cg03571145	-0.347544362082503	3.79269019073225e-09
cg09491670	0	3.79269019073225e-09
cg03263613	0	3.79269019073225e-09
cg18650827	0	3.79269019073225e-09
cg14288673	0	3.79269019073225e-09
cg17686973	0	3.79269019073225e-09
cg01031312	0	3.79269019073225e-09
cg20072162	0	3.79269019073225e-09
cg08893087	-0.442932671995193	3.79269019073225e-09
cg26226650	0	3.79269019073225e-09
cg05548179	-0.0394345765358294	3.79269019073225e-09
cg05162166	0	3.79269019073225e-09
cg07676349	0	3.79269019073225e-09
cg15209169	0	3.79269019073225e-09
cg26406441	0	3.79269019073225e-09
cg00607194	0	3.79269019073225e-09
cg19556613	-0.190571441599258	3.79269019073225e-09
cg12821702	0	3.79269019073225e-09
cg21171115	0	3.79269019073225e-09
cg20039814	0	3.79269019073225e-09
cg22018329	0	3.79269019073225e-09
cg21406786	-0.290685436564985	3.79269019073225e-09
cg22907761	0	3.79269019073225e-09
cg25112191	0	3.79269019073225e-09
cg14315430	0	3.79269019073225e-09
cg00439790	0	3.79269019073225e-09
