IlmnID	estimate	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg00527413	0.639793370829455	2	25151377		IGR-opensea	1;23;43	ADCY3	upstream	9321
cg02632511	-0.108048909481436	14	22408702		IGR-opensea	1;43	OR4E2	downstream	275404
cg04233054	0.580921310197941	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg04354076	-9.72994023280471e-05	3	148512326		IGR-opensea	21;47	CPB1	upstream	33262
cg04944545	-0.054682844486692	6	31682023	LY6G6D	TSS1500-opensea	2;3;4;6;12;43;50	LY6G6F	inside intron	7338
cg08103568	-0.412023690605022	4	100737138	DAPP1	TSS1500-opensea	1	DAPP1	promoter	843
cg08621277	0.0449315846152435	11	68271518	SAPS3	5'UTR-opensea	34;21	PPP6R3	inside intron	43331
cg08893087	-0.181557759347003	1	93416982	FAM69A	Body-opensea	17;11	DIPK1A	inside intron	10097
cg10674122	-0.109568411103035	19	42343444	LYPD4	5'UTR-opensea	4	LYPD4	inside exon	5064
cg11581079	-0.118519486515684	17	7383764	ZBTB4	TSS1500-shore	3	ZBTB4	inside intron	3804
cg14308511	0.227679327059176	13	44981390	TUSC8	TSS1500-opensea	37;20;2	SERP2	downstream	33411
cg14620234	-0.472787830828951	9	108003927		IGR-shelf		SLC44A1	upstream	3002
cg15130589	-0.209704155535422	1	180555760		IGR-opensea	0;1;2;17	XPR1	upstream	45386
cg15217637	0.344986545158503	4	37841179	PGM2	Body-opensea	1;32	PGM2	inside intron	12896
cg15719339	-0.015214460096562	21	17960584	C21orf34	Body-opensea	50	MIR99AHG	inside intron	393884
cg15766722	-0.606296797107002	9	134258666		IGR-opensea	41;1	PRRC2B	upstream	10934
cg17644690	0.108740747365962	1	183093894	LAMC1	Body-opensea	21	LAMC1	inside exon	101298
cg18676805	0.309390336339054	8	80990403	TPD52	Body-opensea		TPD52	inside intron	93433
cg20172445	-0.124650071597575	8	102482778		IGR-opensea	0	GRHL2	upstream	21890
cg20378055	-0.192577205777133	10	86184730	CCSER2	TSS1500-opensea	39;19;11;1	CCSER2	inside exon	34
cg20385913	0.525249897838893	15	75054510		IGR-opensea		CYP1A2	downstream	13325
cg20480368	-0.267968867923797	3	174576768	NAALADL2	TSS1500-opensea	50;42;11;2;1	NAALADL2	promoter	343
cg20815919	0.0368581232631486	3	127456204	MGLL	Body-opensea	39;10	MGLL	inside intron	85889
cg21362410	0.333297270978247	11	63650618	MARK2	Body-opensea	41;31;19;1	MARK2	inside intron	44217
cg22689954	-0.365098218792459	18	32509513		IGR-opensea	41;26;25	DTNA	downstream	111265
cg22879834	0.062494726963665	2	239169591	PER2	Body-opensea	39	PER2	inside exon	27616
cg23377690	-0.280357452316854	20	35013080	DLGAP4	5'UTR-opensea	0;2;20;49	DLGAP4	inside intron	17631
cg24372191	0.0765422429960256	15	48116584	LINC01491	Body-opensea	26	SEMA6D	downstream	105897
cg25100365	-0.295839104287504	6	89789448	PNRC1	TSS1500-shore	23;8	PNRC1	promoter	981
cg26187681	0.319579776341973	4	184329998		IGR-opensea		CDKN2AIP	upstream	35791
cg27402634	-1.48097791234736	3	156536860		IGR-shore	12;50	LINC00886	promoter	2008
