IlmnID	model1_coef	model2_coef	model3_coef	model4_coef	model5_coef	CHR	MAPINFO	gene	feat.cgi	SNP_DISTANCE	name	description	distance
cg00527413	0.639793370829455	0	NA	NA	0.00590297480398319	2	25151377	NA	IGR-opensea	1;23;43	ADCY3	upstream	9321
cg02339122	NA	NA	NA	-0.214848238809376	NA	17	54245140	ANKFN1	Body-opensea	1	ANKFN1	inside intron	14303
cg02632511	-0.108048909481436	0	NA	NA	0	14	22408702	NA	IGR-opensea	1;43	OR4E2	downstream	275404
cg03313447	0	0	0	-0.264997649304189	0	19	41829042	CCDC97	3'UTR-opensea	40;2	CCDC97	inside exon	12947
cg03571145	0	0	-0.347544362082503	NA	NA	8	146021168	NA	IGR-shelf	0;30	ZNF517	upstream	3093
cg03745114	0	0	-0.6153319287703	NA	NA	17	46017593	PNPO	TSS1500-opensea	8;12	PNPO	promoter	1296
cg04233054	0.580921310197941	0	0.888193532465144	1.14031980863542	0.100744886875052	1	23112654	EPHB2	Body-shore	39	EPHB2	inside intron	75321
cg04354076	-9.72994023280471e-05	NA	NA	NA	NA	3	148512326	NA	IGR-opensea	21;47	CPB1	upstream	33262
cg04414720	0	0	-0.347664028942272	NA	NA	1	150670196	GOLPH3L	TSS1500-opensea	22	HORMAD1	downstream	23168
cg04944545	-0.054682844486692	0	NA	NA	0	6	31682023	LY6G6D	TSS1500-opensea	2;3;4;6;12;43;50	LY6G6F	inside intron	7338
cg04971534	0	0	-0.19324043403238	NA	0	17	27333432	SEZ6	TSS1500-shore	27	SEZ6	inside exon	26
cg05211790	NA	0	NA	0.329219657763761	NA	5	34683189	RAI14	5'UTR-opensea	33	RAI14	inside intron	26592
cg05548179	0	0	-0.0394345765358294	NA	NA	15	51425282	NA	IGR-opensea	NA	TNFAIP8L3	upstream	27808
cg05773155	NA	NA	NA	-0.443271755856961	NA	1	201911097	LMOD1	Body-opensea	42	LMOD1	inside intron	4619
cg07168214	NA	NA	-0.152463540951791	-1.14879867994201	-0.205669429638695	17	7380112	ZBTB4	5'UTR-shelf	8;35	ZBTB4	inside intron	7456
cg07897858	0	0	NA	NA	-0.0477035016737337	20	34973209	DLGAP4	5'UTR-opensea	27	DLGAP4	inside intron	78905
cg08103568	-0.412023690605022	0	-1.22888078462459	-3.63254668763591	0	4	100737138	DAPP1	TSS1500-opensea	1	DAPP1	promoter	843
cg08621277	0.0449315846152435	0	0.677493322044904	1.38622497249957	0	11	68271518	SAPS3	5'UTR-opensea	34;21	PPP6R3	inside intron	43331
cg08893087	-0.181557759347003	0	-0.442932671995193	NA	NA	1	93416982	FAM69A	Body-opensea	17;11	DIPK1A	inside intron	10097
cg10674122	-0.109568411103035	NA	NA	NA	NA	19	42343444	LYPD4	5'UTR-opensea	4	LYPD4	inside exon	5064
cg11581079	-0.118519486515684	0	NA	NA	0	17	7383764	ZBTB4	TSS1500-shore	3	ZBTB4	inside intron	3804
cg12026561	0	0	NA	NA	-0.0160146009163165	11	122238873	NA	IGR-opensea	49;32;30;22;2;1	MIR100HG	promoter	405
cg13393036	NA	0	NA	-0.430206667604826	NA	8	95962371	TP53INP1	TSS1500-island	30;33	TP53INP1	promoter	755
cg13659813	0	0	-0.495918809683546	-2.39196256947922	-0.0493304388036006	19	39322968	ECH1	TSS1500-shore	1;51	HNRNPL	inside intron	8048
cg14150907	0	0	0	0.873747568629918	0	8	142275722	NA	IGR-opensea	18	SLC45A4	upstream	11496
cg14308511	0.227679327059176	0	NA	NA	NA	13	44981390	TUSC8	TSS1500-opensea	37;20;2	SERP2	downstream	33411
cg14620234	-0.472787830828951	0	-0.333093797051506	NA	NA	9	108003927	NA	IGR-shelf	NA	SLC44A1	upstream	3002
cg15130589	-0.209704155535422	0	NA	NA	NA	1	180555760	NA	IGR-opensea	0;1;2;17	XPR1	upstream	45386
cg15217637	0.344986545158503	0	NA	NA	NA	4	37841179	PGM2	Body-opensea	1;32	PGM2	inside intron	12896
cg15719339	-0.015214460096562	0	-0.160869155698571	NA	NA	21	17960584	C21orf34	Body-opensea	50	MIR99AHG	inside intron	393884
cg15766722	-0.606296797107002	0	NA	NA	NA	9	134258666	NA	IGR-opensea	41;1	PRRC2B	upstream	10934
cg17196465	0	0	0.615132109955383	2.44694049220634	NA	3	50676567	MAPKAPK3	Body-opensea	NA	MAPKAPK3	inside intron	21634
cg17644690	0.108740747365962	0	NA	NA	NA	1	183093894	LAMC1	Body-opensea	21	LAMC1	inside exon	101298
cg18676805	0.309390336339054	0	NA	NA	NA	8	80990403	TPD52	Body-opensea	NA	TPD52	inside intron	93433
cg18714782	0	0	0.0445938806004542	NA	NA	4	519713	PIGG	Body-opensea	31;1	PIGG	inside intron	26686
cg19556613	NA	NA	-0.190571441599258	NA	NA	5	116280275	NA	IGR-opensea	10	SEMA6A	upstream	369723
cg20172445	-0.124650071597575	0	NA	NA	NA	8	102482778	NA	IGR-opensea	0	GRHL2	upstream	21890
cg20378055	-0.192577205777133	0	NA	NA	0	10	86184730	CCSER2	TSS1500-opensea	39;19;11;1	CCSER2	inside exon	34
cg20385913	0.525249897838893	0	NA	NA	0.176203666217226	15	75054510	NA	IGR-opensea	NA	CYP1A2	downstream	13325
cg20480368	-0.267968867923797	0	NA	NA	NA	3	174576768	NAALADL2	TSS1500-opensea	50;42;11;2;1	NAALADL2	promoter	343
cg20648272	NA	0	NA	-0.296579585391971	NA	20	35068341	DLGAP4	Body-shelf	0;4;12	DLGAP4	inside intron	72892
cg20815919	0.0368581232631486	0	NA	NA	NA	3	127456204	MGLL	Body-opensea	39;10	MGLL	inside intron	85889
cg21362410	0.333297270978247	0	NA	NA	0.232296491263446	11	63650618	MARK2	Body-opensea	41;31;19;1	MARK2	inside intron	44217
cg21406786	0	NA	-0.290685436564985	NA	NA	15	48925049	FBN1	Body-opensea	36;2	FBN1	inside intron	12936
cg21702971	0	0	0	0.143720921896973	0	12	57588243	LRP1	Body-opensea	47;42;34;2	LRP1	inside exon	65960
cg22211564	NA	NA	NA	-0.213109648932512	NA	3	54988324	CACNA2D3	Body-opensea	15;21	CACNA2D3	inside intron	830835
cg22689954	-0.365098218792459	0	NA	NA	NA	18	32509513	NA	IGR-opensea	41;26;25	DTNA	downstream	111265
cg22879834	0.062494726963665	0	0.455727086296905	NA	NA	2	239169591	PER2	Body-opensea	39	PER2	inside exon	27616
cg23377690	-0.280357452316854	0	NA	NA	0	20	35013080	DLGAP4	5'UTR-opensea	0;2;20;49	DLGAP4	inside intron	17631
cg23894219	NA	0	NA	-0.295458680509126	NA	1	1356565	LOC441869	1stExon-shore	48;17	ANKRD65	inside exon	259
cg24372191	0.0765422429960256	0	NA	NA	0.0711863623699692	15	48116584	LINC01491	Body-opensea	26	SEMA6D	downstream	105897
cg25100365	-0.295839104287504	0	NA	NA	NA	6	89789448	PNRC1	TSS1500-shore	23;8	PNRC1	promoter	981
cg26187681	0.319579776341973	0	NA	NA	NA	4	184329998	NA	IGR-opensea	NA	CDKN2AIP	upstream	35791
cg26974880	0	0	0.215197967345967	NA	NA	16	50308058	NA	IGR-opensea	26	ADCY7	inside intron	7595
cg27189723	0	0	-0.0880355888392687	-1.26674242335938	NA	7	134137645	AKR1B1	Body-opensea	23;2	AKR1B1	inside intron	6243
cg27402634	-1.48097791234736	-0.265695899915776	-1.51601144873939	-1.83527913084586	-1.11011327968934	3	156536860	NA	IGR-shore	12;50	LINC00886	promoter	2008
